Player,Rank,Pts Won,Pts Max,Share,year
Carlos Boozer,14T,1.0,1260,0.001,2008
Antawn Jamison,14T,1.0,1260,0.001,2008
Paul Pierce,14T,1.0,1260,0.001,2008
Rasheed Wallace,14T,1.0,1260,0.001,2008
LeBron James,1,1172.0,1210,0.969,2009
Kobe Bryant,2,698.0,1210,0.577,2009
Dwyane Wade,3,680.0,1210,0.562,2009
Dwight Howard,4,328.0,1210,0.271,2009
Chris Paul,5,192.0,1210,0.159,2009
Chauncey Billups,6,33.0,1210,0.027,2009
Paul Pierce,7,21.0,1210,0.017,2009
Tony Parker,8,9.0,1210,0.007,2009
Brandon Roy,9,7.0,1210,0.006,2009
Dirk Nowitzki,10,3.0,1210,0.002,2009
Tim Duncan,11,2.0,1210,0.002,2009
Yao Ming,12,1.0,1210,0.001,2009
LeBron James,1,1205.0,1230,0.98,2010
Kevin Durant,2,609.0,1230,0.495,2010
Kobe Bryant,3,599.0,1230,0.487,2010
Dwight Howard,4,478.0,1230,0.389,2010
Dwyane Wade,5,119.0,1230,0.097,2010
Carmelo Anthony,6,65.0,1230,0.053,2010
Dirk Nowitzki,7,55.0,1230,0.045,2010
Steve Nash,8,49.0,1230,0.04,2010
Deron Williams,9,7.0,1230,0.006,2010
Amar'e Stoudemire,10,5.0,1230,0.004,2010
Manu Ginóbili,11,3.0,1230,0.002,2010
Chauncey Billups,12T,1.0,1230,0.001,2010
Chris Bosh,12T,1.0,1230,0.001,2010
Stephen Jackson,12T,1.0,1230,0.001,2010
Joe Johnson,12T,1.0,1230,0.001,2010
LeBron James,1,1205.0,1230,0.98,2010
Kevin Durant,2,609.0,1230,0.495,2010
Kobe Bryant,3,599.0,1230,0.487,2010
Dwight Howard,4,478.0,1230,0.389,2010
Dwyane Wade,5,119.0,1230,0.097,2010
Carmelo Anthony,6,65.0,1230,0.053,2010
Dirk Nowitzki,7,55.0,1230,0.045,2010
Steve Nash,8,49.0,1230,0.04,2010
Deron Williams,9,7.0,1230,0.006,2010
Amar'e Stoudemire,10,5.0,1230,0.004,2010
Manu Ginóbili,11,3.0,1230,0.002,2010
Chauncey Billups,12T,1.0,1230,0.001,2010
Chris Bosh,12T,1.0,1230,0.001,2010
Stephen Jackson,12T,1.0,1230,0.001,2010
Joe Johnson,12T,1.0,1230,0.001,2010
Derrick Rose,1,1182.0,1210,0.977,2011
Dwight Howard,2,643.0,1210,0.531,2011
LeBron James,3,522.0,1210,0.431,2011
Kobe Bryant,4,428.0,1210,0.354,2011
Kevin Durant,5,190.0,1210,0.157,2011
Dirk Nowitzki,6,113.0,1210,0.093,2011
Dwyane Wade,7,24.0,1210,0.02,2011
Manu Ginóbili,8,20.0,1210,0.017,2011
Amar'e Stoudemire,9,9.0,1210,0.007,2011
Blake Griffin,10T,5.0,1210,0.004,2011
Rajon Rondo,10T,5.0,1210,0.004,2011
Tony Parker,12,3.0,1210,0.002,2011
Chris Paul,13,2.0,1210,0.002,2011
LeBron James,1,1074.0,1210,0.888,2012
Kevin Durant,2,889.0,1210,0.735,2012
Chris Paul,3,385.0,1210,0.318,2012
Kobe Bryant,4,352.0,1210,0.291,2012
Tony Parker,5,331.0,1210,0.274,2012
Kevin Love,6,58.0,1210,0.048,2012
Dwight Howard,7,13.0,1210,0.011,2012
Rajon Rondo,8,12.0,1210,0.01,2012
Steve Nash,9,7.0,1210,0.006,2012
Dwyane Wade,10,6.0,1210,0.005,2012
Derrick Rose,11,5.0,1210,0.004,2012
Dirk Nowitzki,12T,4.0,1210,0.003,2012
Russell Westbrook,12T,4.0,1210,0.003,2012
Tim Duncan,14,3.0,1210,0.002,2012
Joe Johnson,15,1.0,1210,0.001,2012
LeBron James,1,1207.0,1210,0.998,2013
Kevin Durant,2,765.0,1210,0.632,2013
Carmelo Anthony,3,475.0,1210,0.393,2013
Chris Paul,4,289.0,1210,0.239,2013
Kobe Bryant,5,184.0,1210,0.152,2013
Tony Parker,6,86.0,1210,0.071,2013
Tim Duncan,7,65.0,1210,0.054,2013
James Harden,8,33.0,1210,0.027,2013
Russell Westbrook,9,9.0,1210,0.007,2013
Dwyane Wade,10,5.0,1210,0.004,2013
Stephen Curry,11,3.0,1210,0.002,2013
Kevin Garnett,12T,1.0,1210,0.001,2013
Marc Gasol,12T,1.0,1210,0.001,2013
Ty Lawson,12T,1.0,1210,0.001,2013
David Lee,12T,1.0,1210,0.001,2013
Joakim Noah,12T,1.0,1210,0.001,2013
Kevin Durant,1,1232.0,1250,0.986,2014
LeBron James,2,891.0,1250,0.713,2014
Blake Griffin,3,434.0,1250,0.347,2014
Joakim Noah,4,322.0,1250,0.258,2014
James Harden,5,85.0,1250,0.068,2014
Stephen Curry,6,66.0,1250,0.053,2014
Chris Paul,7,45.0,1250,0.036,2014
Al Jefferson,8,34.0,1250,0.027,2014
Paul George,9,33.0,1250,0.026,2014
LaMarcus Aldridge,10,26.0,1250,0.021,2014
Kevin Love,11,25.0,1250,0.02,2014
Tim Duncan,12T,21.0,1250,0.017,2014
Tony Parker,12T,21.0,1250,0.017,2014
Dirk Nowitzki,14,7.0,1250,0.006,2014
Carmelo Anthony,15,4.0,1250,0.003,2014
Goran Dragić,16,3.0,1250,0.002,2014
Mike Conley,17,1.0,1250,0.001,2014
Stephen Curry,1,1198.0,1300,0.922,2015
James Harden,2,936.0,1300,0.72,2015
LeBron James,3,552.0,1300,0.425,2015
Russell Westbrook,4,352.0,1300,0.271,2015
Anthony Davis,5,203.0,1300,0.156,2015
Chris Paul,6,124.0,1300,0.095,2015
LaMarcus Aldridge,7,6.0,1300,0.005,2015
Marc Gasol,8T,3.0,1300,0.002,2015
Blake Griffin,8T,3.0,1300,0.002,2015
Tim Duncan,10T,1.0,1300,0.001,2015
Kawhi Leonard,10T,1.0,1300,0.001,2015
Klay Thompson,10T,1.0,1300,0.001,2015
Stephen Curry,1,1310.0,1310,1.0,2016
Kawhi Leonard,2,634.0,1310,0.484,2016
LeBron James,3,631.0,1310,0.482,2016
Russell Westbrook,4,486.0,1310,0.371,2016
Kevin Durant,5,147.0,1310,0.112,2016
Chris Paul,6,107.0,1310,0.082,2016
Draymond Green,7,50.0,1310,0.038,2016
Damian Lillard,8,26.0,1310,0.02,2016
James Harden,9,9.0,1310,0.007,2016
Kyle Lowry,10,6.0,1310,0.005,2016
Russell Westbrook,1,888.0,1010,0.879,2017
James Harden,2,753.0,1010,0.746,2017
Kawhi Leonard,3,500.0,1010,0.495,2017
LeBron James,4,333.0,1010,0.33,2017
Isaiah Thomas,5,81.0,1010,0.08,2017
Stephen Curry,6,52.0,1010,0.051,2017
Giannis Antetokounmpo,7T,7.0,1010,0.007,2017
John Wall,7T,7.0,1010,0.007,2017
Anthony Davis,9T,2.0,1010,0.002,2017
Kevin Durant,9T,2.0,1010,0.002,2017
DeMar DeRozan,11,1.0,1010,0.001,2017
James Harden,1,965.0,1010,0.955,2018
LeBron James,2,738.0,1010,0.731,2018
Anthony Davis,3,445.0,1010,0.441,2018
Damian Lillard,4,207.0,1010,0.205,2018
Russell Westbrook,5,76.0,1010,0.075,2018
Giannis Antetokounmpo,6,75.0,1010,0.074,2018
Kevin Durant,7,66.0,1010,0.065,2018
DeMar DeRozan,8,32.0,1010,0.032,2018
LaMarcus Aldridge,9,6.0,1010,0.006,2018
Jimmy Butler,10T,5.0,1010,0.005,2018
Stephen Curry,10T,5.0,1010,0.005,2018
Joel Embiid,12,4.0,1010,0.004,2018
Victor Oladipo,13,2.0,1010,0.002,2018
Giannis Antetokounmpo,1,941.0,1010,0.932,2019
James Harden,2,776.0,1010,0.768,2019
Paul George,3,356.0,1010,0.352,2019
Nikola Jokić,4,212.0,1010,0.21,2019
Stephen Curry,5,175.0,1010,0.173,2019
Damian Lillard,6,69.0,1010,0.068,2019
Joel Embiid,7,49.0,1010,0.049,2019
Kevin Durant,8,25.0,1010,0.025,2019
Kawhi Leonard,9,13.0,1010,0.013,2019
Russell Westbrook,10,8.0,1010,0.008,2019
Rudy Gobert,11T,1.0,1010,0.001,2019
LeBron James,11T,1.0,1010,0.001,2019
Giannis Antetokounmpo,1,962.0,1010,0.952,2020
LeBron James,2,753.0,1010,0.746,2020
James Harden,3,367.0,1010,0.363,2020
Luka Dončić,4,200.0,1010,0.198,2020
Kawhi Leonard,5,168.0,1010,0.166,2020
Anthony Davis,6,82.0,1010,0.081,2020
Chris Paul,7,26.0,1010,0.026,2020
Damian Lillard,8,23.0,1010,0.023,2020
Nikola Jokić,9,18.0,1010,0.018,2020
Pascal Siakam,10,17.0,1010,0.017,2020
Jimmy Butler,11,9.0,1010,0.009,2020
Jayson Tatum,12,1.0,1010,0.001,2020
Nikola Jokić,1,971.0,1010,0.961,2021
Joel Embiid,2,586.0,1010,0.58,2021
Stephen Curry,3,453.0,1010,0.449,2021
Giannis Antetokounmpo,4,348.0,1010,0.345,2021
Chris Paul,5,139.0,1010,0.138,2021
Luka Dončić,6,42.0,1010,0.042,2021
Damian Lillard,7,38.0,1010,0.038,2021
Julius Randle,8,20.0,1010,0.02,2021
Derrick Rose,9,10.0,1010,0.01,2021
Rudy Gobert,10,8.0,1010,0.008,2021
Russell Westbrook,11,5.0,1010,0.005,2021
Ben Simmons,12,3.0,1010,0.003,2021
James Harden,13T,1.0,1010,0.001,2021
LeBron James,13T,1.0,1010,0.001,2021
Kawhi Leonard,13T,1.0,1010,0.001,2021
Nikola Jokić,1,875.0,1000,0.875,2022
Joel Embiid,2,706.0,1000,0.706,2022
Giannis Antetokounmpo,3,595.0,1000,0.595,2022
Devin Booker,4,216.0,1000,0.216,2022
Luka Dončić,5,146.0,1000,0.146,2022
Jayson Tatum,6,43.0,1000,0.043,2022
Ja Morant,7,10.0,1000,0.01,2022
Stephen Curry,8,4.0,1000,0.004,2022
Chris Paul,9,2.0,1000,0.002,2022
DeMar DeRozan,10T,1.0,1000,0.001,2022
Kevin Durant,10T,1.0,1000,0.001,2022
LeBron James,10T,1.0,1000,0.001,2022
Joel Embiid,1,915.0,1000,0.915,2023
Nikola Jokić,2,674.0,1000,0.674,2023
Giannis Antetokounmpo,3,606.0,1000,0.606,2023
Jayson Tatum,4,280.0,1000,0.28,2023
Shai Gilgeous-Alexander,5,46.0,1000,0.046,2023
Donovan Mitchell,6,30.0,1000,0.03,2023
Domantas Sabonis,7,27.0,1000,0.027,2023
Luka Dončić,8,10.0,1000,0.01,2023
Stephen Curry,9,5.0,1000,0.005,2023
Jimmy Butler,10,3.0,1000,0.003,2023
De'Aaron Fox,11,2.0,1000,0.002,2023
Jalen Brunson,12T,1.0,1000,0.001,2023
Ja Morant,12T,1.0,1000,0.001,2023
